case_id,receiver_relative_l2,gradient_relative_l2,gradient_cosine_similarity,preregistered_failure,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,directional_error_bound,directional_effectivity,directional_certified_descent,true_descent,primal_residual_sum,tangent_residual_sum
0,0.10287674010555314,1.330508445507654,0.12729830282739216,True,-0.06368531748034043,-0.5073494869473016,0.4436641694669612,4904.947621773724,11055.541464316932,False,True,2052.8969127343244,14590.122299477001
1,0.2968542921033579,16.149859560262644,-0.5189639855827556,False,0.04962009901260068,-1.4923642613444614,1.5419843603570622,3342.559907578843,2167.7002656530444,False,False,2261.91854240945,11517.80821572597
2,0.14897973991542757,4.092218019502637,0.23653974011530374,True,-0.045267628720521653,-0.8060183946103874,0.7607507658898657,10063.835440727466,13228.820649237983,False,True,2225.331476493575,15869.662810196802
3,0.1216784588309432,0.8068900221901801,0.6230875258835548,True,-0.9650403982432614,-1.2721162034935547,0.3070758052502933,7509.922153767053,24456.248344430187,False,True,1999.7387319829218,12737.569251877563
4,0.17540852820780287,1.2611406813596342,0.5763350941636682,False,-0.4262795033189711,-1.1367320000080448,0.7104524966890737,4703.140087604512,6619.921964554401,False,True,2028.5747858629793,12450.738881820005
5,0.22992596630692952,4.5935784723900195,0.49190860952560944,False,-0.0875227637913196,-0.8900197857684999,0.8024970219771803,3336.267267914932,4157.357817596738,False,True,2057.0678708282344,14318.50481448747
6,0.12046305988885102,0.7567779656968613,0.6807472198053464,True,-1.2841910509095196,-1.6427625278137716,0.35857147690425206,4890.655211712859,13639.275644389283,False,True,1981.3290068312,11140.67475191581
7,0.13005645272893662,1.1755739280286772,0.607887099252982,True,-0.589543353175121,-1.430275279826089,0.840731926650968,9918.153113746444,11797.045882693106,False,True,2151.9451355338947,14282.166301311529
8,0.17789242702393163,4.910050623764276,0.22282036252999493,False,-0.0405992162186084,-0.9174296289239137,0.8768304127053053,4185.257492767565,4773.166432326056,False,True,2102.8927325063846,13306.786217631192
9,0.15147048215829959,1.5161582395785365,-0.2230848313401247,False,0.22318697203751653,-0.9385951812884794,1.161782153325996,12895.568553143554,11099.816360774357,False,False,2297.728644834791,15558.714832571244
10,0.16255595239613282,1.1228649657180543,0.5938783803971179,False,-0.724374048816705,-1.6797598022034133,0.9553857533867083,4834.58666822249,5060.350388400245,False,True,1975.7560106630326,10520.428400704259
11,0.13952733712186124,1.448026102187582,0.4111536056222635,True,-0.2700882640553016,-1.009163698306676,0.7390754342513745,5809.482238258746,7860.472651405735,False,True,2081.711917970632,12680.887927895821
12,0.13779660009803246,1.9583375154517322,0.7045636114890738,True,-0.4660279653277246,-1.673317394561201,1.2072894292334764,6701.730442518215,5551.055347824283,False,True,2083.2592033725246,11415.636378771302
13,0.1353250193043731,1.8039930221199811,0.22053207857756116,True,-0.13756859197520957,-1.0842347860215946,0.9466661940463851,7938.82237090441,8386.084155990702,False,True,2092.394451737236,15437.408405429644
14,0.12466698732837889,0.7982691673665099,0.7213201182249322,True,-1.442994240012056,-2.237006079769473,0.794011839757417,5475.9171277925125,6896.518230087716,False,True,1972.7139592940678,11308.649877925178
15,0.1651440309740572,1.0771106105445931,0.4091112036298619,False,-0.5658910450955265,-1.3575226415582038,0.7916315964626773,11106.818580218154,14030.287105577654,False,True,2305.0772600605114,16027.106590550371
16,0.1674784423245482,0.8315786728610212,0.6367767752139425,False,-0.8109973127859295,-1.2076728486906934,0.3966755359047639,4895.083186464963,12340.26992690621,False,True,2125.76298181881,11344.73245509113
17,0.1322723827178587,1.6676327114311074,0.44118061662622415,True,-0.1778229405574268,-0.7443559002703636,0.5665329597129367,6648.542387679924,11735.490890148303,False,True,2149.8384931015753,11995.869018540512
18,0.12394961671909195,1.3984703252656963,0.2625851615014087,True,-0.11525372627235553,-0.5595542768856061,0.4443005506132506,5045.29761544806,11355.596135283276,False,True,2003.9828188554563,13271.123371312391
19,0.18705424896248202,1.778482219577637,0.15059271725340587,False,-0.07157601599291918,-0.7742543450463492,0.70267832905343,4210.09466190228,5991.496375836225,False,True,2078.5925654134103,15152.652076793562
20,0.2648637404666588,7.214973605144788,0.6022651025090394,False,-0.14024366048710094,-1.8100093217619242,1.6697656612748233,3978.839338619702,2382.8728970159564,False,True,2155.2314032701956,12585.812838186164
21,0.1463462551091622,2.149332532252807,0.11257031700475213,True,-0.051307320119001985,-0.9199605555169578,0.8686532353979558,13352.45071990775,15371.43957541423,False,True,2238.3018480658784,20250.561997326273
22,0.1776611191070393,1.522902526123556,0.4834489176102193,False,-0.26247045004751285,-0.9390350241676206,0.6765645741201078,3928.481310599835,5806.513466521567,False,True,2039.0279486426314,11007.456448318848
23,0.15245144030093266,1.3592714806224573,0.16471373613367754,False,-0.1350762893626689,-0.9020688880021719,0.766992598639503,11430.562176111653,14903.093193320596,False,True,2272.2770229102557,17159.4321669153
24,0.30042645620361813,1.286963667892024,-0.41419882735458674,False,0.9878258942626966,-1.1820941682034198,2.1699200624661166,14999.516276783093,6912.474121160079,False,False,2494.7182269202726,13983.761762843622
25,0.20045993094204104,3.380979441595147,-0.2644102369824497,False,0.09147664630066515,-1.0296274745440044,1.1211041208446695,5636.684302676733,5027.797327539842,False,False,2147.6549473231285,12131.73262769821
26,0.15765717913050525,2.399630874324653,-0.16024277533560552,False,0.05405039313659836,-0.68370385918966,0.7377542523262584,10020.834459190832,13582.889461624276,False,False,2197.020411185551,17375.54356113487
